"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;16;0
"Building";"Refinery";NA;17;0
"Unit";"Reaper";"Barracks";19;1
"Building";"Factory";NA;20;0
"Unit";"Reaper";"Barracks";21;1
"Building";"Starport";NA;23;0
"Unit";"Cyclone";"Factory";24;3
"Building";"BarracksTechLab";NA;29;0
"Unit";"Cyclone";"Factory";30;3
"Unit";"Banshee";"Starport";34;3
"Building";"CommandCenter";NA;38;0
"Building";"BarracksReactor";NA;38;0
"Unit";"Cyclone";"Factory";40;3
"Unit";"Marine";"Barracks";43;1
"Unit";"Marine";"Barracks";44;1
"Upgrade";"SprayTerran";NA;47;0
"Upgrade";"SprayTerran";NA;47;0
