"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Building";"Refinery";NA;14;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";16;1
"Building";"Barracks";NA;15;0
"Unit";"SCV";"Command Center";17;1
"Building";"Refinery";NA;17;0
"Building";"BarracksTechLab";NA;18;0
"Building";"SupplyDepot";NA;19;0
"Unit";"Marauder";"Barracks";19;2
"Unit";"SCV";"Command Center";19;1
"Building";"Factory";NA;19;0
"Unit";"Marauder";"Barracks";19;2
"Unit";"SCV";"Command Center";21;1
"Unit";"SCV";"Command Center";24;1
"Unit";"Marauder";"Barracks";25;2
"Unit";"SCV";"Command Center";25;1
"Building";"SupplyDepot";NA;25;0
"Building";"Starport";NA;22;0
"Building";"FactoryReactor";NA;25;0
"Unit";"SCV";"Command Center";29;1
"Unit";"Marauder";"Barracks";26;2
"Unit";"SCV";"Command Center";29;1
"Unit";"Marauder";"Barracks";30;2
"Unit";"Medivac";"Starport";29;2
"Building";"StarportTechLab";NA;37;0
"Unit";"Marine";"Barracks";37;1
"Building";"SupplyDepot";NA;37;0
"Building";"FusionCore";NA;37;0
"Unit";"Marine";"Barracks";37;1
"Building";"SupplyDepot";NA;38;0
"Building";"CommandCenter";NA;33;0
"Unit";"SCV";"Command Center";39;1
"Unit";"SCV";"Command Center";39;1
"Building";"Refinery";NA;40;0
"Unit";"SCV";"Command Center";40;1
"Unit";"Battlecruiser";"Starport";39;6
"Unit";"SCV";"Command Center";41;1
"Unit";"SCV";"Command Center";41;1
"Unit";"Marine";"Barracks";41;1
"Unit";"SCV";"Command Center";48;1
"Unit";"SCV";"Command Center";49;1
"Building";"Refinery";NA;48;0
"Unit";"Marine";"Barracks";50;1
"Unit";"SCV";"Command Center";51;1
"Building";"CommandCenter";NA;39;0
